lake,lake_lat,lake_long,tsi,trophic_status,climate_zone,lake_elev,lake_area,lake_volume,mean_lake_depth,year,season,num_samples,start_day,end_day,days_in_window,chla_rate,max_chla,acc_chla,poc_rate,chla_to_poc,mean_temp,mean_tp,mean_secchi,mean_ph,mean_srp,mean_tkn,mean_par,specific_chla_rate,f_temp,temp_corrected_specific_chla_rate,prev_week_mean_temp,prev_2weeks_mean_temp,prev_week_mean_par,prev_2weeks_mean_par,prev_7days_mean_tp,prev_14days_mean_tp,prev_7days_mean_tkn,prev_14days_mean_tkn,ssr_station,ssr_id,ssr_id_type,ssr_lat,ssr_long,geo_dist_km,ssr_elev,ssr_lake_elev_diff,mean_ssr,prev_7days_mean_ssr,prev_14days_mean_ssr
Experimental lake 114,49.4,-93.45,50.53208283,eutrophic,8,375,0.44,2.26,5.2,1989,single,12,157,213,42,0.25,16.1,417.2,,,,13.75,2.325,,,,170.3710034,0.044642857,,,,,,,10,10,,,ELA,MET,ELA,49.664,-93.7327,35.78997048,418,43,159.6317109,173.0304982,158.4431732
Experimental lake 114,49.4,-93.45,50.53208283,eutrophic,8,375,0.44,2.26,5.2,1998,single,13,106,257,137,0.072189781,11.19,723.2633333,,,,12.9,2.266666667,,,,121.8702312,0.055530601,,,,,,,7,7,,,ELA,MET,ELA,49.664,-93.7327,35.78997048,418,43,127.3858701,,
Experimental lake 114,49.4,-93.45,50.53208283,eutrophic,8,375,0.44,2.26,5.2,1999,single,11,207,250,28,0.062857143,8.44,203.8866667,,,,16,1.5,,,,88.63878711,0.009409752,,,,,,,14,14.5,,,ELA,MET,ELA,49.664,-93.7327,35.78997048,418,43,101.3963339,127.1833019,122.0898909
Experimental lake 114,49.4,-93.45,50.53208283,eutrophic,8,375,0.44,2.26,5.2,2001,single,13,142,183,27,0.057037037,6.89,101.5233333,,,16.67222222,12,2.35,,,,93.42771503,0.010661128,0.778046237,0.013702436,,,,,11,9,,,ELA,MET,ELA,49.664,-93.7327,35.78997048,418,43,127.0200278,,
Experimental lake 114,49.4,-93.45,50.53208283,eutrophic,8,375,0.44,2.26,5.2,2002,single,12,133,182,35,0.177428571,9.41,155.7208333,,,15.81388889,11,3.5,,,,131.9816595,0.055446429,0.735217512,0.075415,,,,,11,11,,,ELA,MET,ELA,49.664,-93.7327,35.78997048,418,43,137.827372,96.05080313,109.6736048
Experimental lake 114,49.4,-93.45,50.53208283,eutrophic,8,375,0.44,2.26,5.2,2003,single,13,132,202,56,0.110357143,9.88,338.5783333,,,19.75778571,11.8,2.9,,,,140.3312604,0.029826255,0.906216281,0.032912954,,,,,9,9,,,ELA,MET,ELA,49.664,-93.7327,35.78997048,418,43,144.9107467,177.4970763,177.4970763
Experimental lake 114,49.4,-93.45,50.53208283,eutrophic,8,375,0.44,2.26,5.2,2006,single,13,206,262,42,0.131666667,10.75,280.21,,,22.18754076,20.25,2.625,,,,,0.025223499,0.971784483,0.025955857,,,,,28,21,,,ELA,MET,ELA,49.664,-93.7327,35.78997048,418,43,,,
Experimental lake 114,49.4,-93.45,50.53208283,eutrophic,8,375,0.44,2.26,5.2,2007,single,13,162,260,85,0.125764706,23.38,1080.938333,,,21.2329444,15.42857143,1.714285714,,,,,0.009910536,0.950223302,0.010429692,,,,,15,15,,,ELA,MET,ELA,49.664,-93.7327,35.78997048,418,43,,,
Experimental lake 114,49.4,-93.45,50.53208283,eutrophic,8,375,0.44,2.26,5.2,2008,single,12,142,182,26,0.250384615,12.32,179.2833333,,,17.06479167,12.66666667,2,,,,,0.043095459,0.796709651,0.0540918,,,,,13,13,,,ELA,MET,ELA,49.664,-93.7327,35.78997048,418,43,,,
Experimental lake 114,49.4,-93.45,50.53208283,eutrophic,8,375,0.44,2.26,5.2,2009,single,12,147,245,84,0.171428571,16.7,502.7866667,,,18.83386646,13.57142857,2,,,,89.02116907,0.074534161,0.872586174,0.085417537,,,,,14,11.5,,,ELA,MET,ELA,49.664,-93.7327,35.78997048,418,43,,,
Experimental lake 114,49.4,-93.45,50.53208283,eutrophic,8,375,0.44,2.26,5.2,2010,single,13,126,223,83,1.142168675,97.24,2820.700833,,,21.26222222,,1,,,,95.47038567,0.468101916,0.950968246,0.492237167,,,,,,,,,ELA,MET,ELA,49.664,-93.7327,35.78997048,418,43,,,
Experimental lake 114,49.4,-93.45,50.53208283,eutrophic,8,375,0.44,2.26,5.2,2012,single,14,108,214,92,0.169565217,17.79,694.0783333,,,21.70980159,17.28571429,1.95,,,,119.9414915,0.07742704,0.961704374,0.08051023,,,,,13,13,,,ELA,MET,ELA,49.664,-93.7327,35.78997048,418,43,,,
Experimental lake 224,49.41,-93.43,34.3578906,oligotrophic,8,382,0.37,2.1,5.7,1981,single,14,187,229,35,0.231428571,8.6,58.33333333,,,,,8.4,,,,164.9906447,0.462857143,,,,,,,,,,,ELA,MET,ELA,49.664,-93.7327,35.75054381,418,36,167.0135246,189.0074728,157.8483088
Experimental lake 239,49.41,-93.44,40.35195524,mesotrophic,8,380,0.37,2.1,5.7,1971,single,17,196,277,60,0.181666667,12.8,275.32,,,19.48,9.6,3.25,,,,,0.095614035,0.896572551,0.106643946,,,,,15,13,,,ELA,MET,ELA,49.664,-93.7327,35.31158262,418,38,,,
Experimental lake 239,49.41,-93.44,40.35195524,mesotrophic,8,380,0.37,2.1,5.7,1981,summer,28,222,259,37,0.035135135,3.3,173.282,,,19.98,6.666666667,3.4,,,,156.5846155,0.017567568,0.913631553,0.019228285,22.35,21.8,190.1904248,180.062442,5,5,,,ELA,MET,ELA,49.664,-93.7327,35.31158262,418,38,155.1374124,151.3545055,163.4488551
Experimental lake 239,49.41,-93.44,40.35195524,mesotrophic,8,380,0.37,2.1,5.7,1982,single,33,137,284,142,0.006619718,13.2,415.902,,,16.78695652,6.5,3.77,,,,142.1802441,0.002929079,0.783563775,0.00373815,,,,,6.5,6.5,,,ELA,MET,ELA,49.664,-93.7327,35.31158262,418,38,137.4419416,70.21766588,101.2197367
Experimental lake 239,49.41,-93.44,40.35195524,mesotrophic,8,380,0.37,2.1,5.7,1989,single,43,122,152,27,0.141481481,5,77.419,,,14.334,5,3.7,,,,170.4328886,0.137360662,0.655756226,0.209469093,,,,,,,,,ELA,MET,ELA,49.664,-93.7327,35.31158262,418,38,167.451057,173.7953404,165.7813761
Experimental lake 239,49.41,-93.44,40.35195524,mesotrophic,8,380,0.37,2.1,5.7,1990,single,46,211,255,42,0.034404762,16.43,86.01991667,,,21.09916667,4.3125,4.95,,,,64.99885725,0.026263177,0.946753751,0.027740241,,,,,4.5,4.25,,,ELA,MET,ELA,49.664,-93.7327,35.31158262,418,38,75.54770091,101.4457717,129.5277433
Experimental lake 239,49.41,-93.44,40.35195524,mesotrophic,8,380,0.37,2.1,5.7,2011,single,14,201,299,84,0.101130952,9.99,215.495,,,19.89635093,4.928571429,3.678571429,,,,52.79036413,0.067646122,0.910871771,0.074265252,,,,,5,5.5,,,ELA,MET,ELA,49.664,-93.7327,35.31158262,418,38,,,
Bergundasjön S. ,56.84510685,14.7826741,66.36031102,eutrophic,7,158,6.51,41.5,6.4,2001,single,6,148,242,50,1.98,110,1704.333333,,,,,,,,,,0.18,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,10.27471459,176,18,202.3684211,226,226
Bergundasjön S. ,56.84510685,14.7826741,66.36031102,eutrophic,7,158,6.51,41.5,6.4,2004,single,6,124,215,59,0.389830508,36,1222.75,,,,,,,,,,0.029986962,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,10.27471459,176,18,194.2717391,192.5,189
Bergundasjön S. ,56.84510685,14.7826741,66.36031102,eutrophic,7,158,6.51,41.5,6.4,2006,single,6,123,194,41,0.36097561,18,534.3666667,,,,,,,,,,0.112804878,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,10.27471459,176,18,228.9861111,154.375,141.6
Bergundasjön S. ,56.84510685,14.7826741,66.36031102,eutrophic,7,158,6.51,41.5,6.4,2008,spring,6,126,191,65,0.553846154,110,3769.833333,,,,,,,,,,0.069230769,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,10.27471459,176,18,241.8636364,214.125,191.6666667
Bergundasjön S. ,56.84510685,14.7826741,66.36031102,eutrophic,7,158,6.51,41.5,6.4,2016,single,6,125,222,70,0.428571429,43,1425.333333,,,,,,,,,,0.032967033,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,10.27471459,176,18,223.377551,188.5,168.6666667
Bergundasjön S. ,56.84510685,14.7826741,66.36031102,eutrophic,7,158,6.51,41.5,6.4,2017,single,6,135,191,25,0.24,45,1056.25,,,,,,,,,,0.006153846,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,10.27471459,176,18,214.5263158,234,234
Bergundasjön S. ,56.84510685,14.7826741,66.36031102,eutrophic,7,158,6.51,41.5,6.4,2018,single,6,128,227,63,1.041269841,70,1856.2,,,,,,,,,,0.236652237,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,10.27471459,176,18,,,
Bergundasjön S. ,56.84510685,14.7826741,66.36031102,eutrophic,7,158,6.51,41.5,6.4,2019,single,6,128,189,41,0.341463415,27,902,,,,,,,,,,0.026266417,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,10.27471459,176,18,,,
Bergundasjön N.,56.86511159,14.75835261,70.87371173,hypereutrophic,7,160,6.51,41.5,6.4,2001,single,6,148,242,50,2.94,170,2849.666667,,,,,,,,,,0.127826087,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,7.748508813,176,16,202.3684211,226,226
Bergundasjön N.,56.86511159,14.75835261,70.87371173,hypereutrophic,7,160,6.51,41.5,6.4,2004,single,6,124,215,59,0.942372881,61,1705.766667,,,,,,,,,,0.174513497,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,7.748508813,176,16,194.2717391,192.5,189
Bergundasjön N.,56.86511159,14.75835261,70.87371173,hypereutrophic,7,160,6.51,41.5,6.4,2007,single,6,127,194,31,1.322580645,69,1529.333333,,,,,,,,,,0.047235023,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,7.748508813,176,16,201.4852941,192.75,195.2
Bergundasjön N.,56.86511159,14.75835261,70.87371173,hypereutrophic,7,160,6.51,41.5,6.4,2008,single,6,126,219,65,0.923076923,82,3116,,,,,,,,,,0.041958042,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,7.748508813,176,16,234.6489362,214.125,191.6666667
Bergundasjön N.,56.86511159,14.75835261,70.87371173,hypereutrophic,7,160,6.51,41.5,6.4,2009,single,6,127,217,69,1.652173913,130,3786.166667,,,,,,,,,,0.10326087,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,7.748508813,176,16,217.4835165,222,215.4666667
Bergundasjön N.,56.86511159,14.75835261,70.87371173,hypereutrophic,7,160,6.51,41.5,6.4,2015,single,6,154,253,78,0.474358974,88,4148,,,,,,,,,,0.009301156,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,7.748508813,176,16,202.2,199.375,192.2
Bergundasjön N.,56.86511159,14.75835261,70.87371173,hypereutrophic,7,160,6.51,41.5,6.4,2016,single,6,125,252,97,0.75257732,110,5163.833333,,,,,,,,,,0.020339928,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,7.748508813,176,16,208.2421875,188.5,168.6666667
Bergundasjön N.,56.86511159,14.75835261,70.87371173,hypereutrophic,7,160,6.51,41.5,6.4,2018,single,6,128,257,99,1.238383838,130,4771.366667,,,,,,,,,,0.167349167,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,7.748508813,176,16,,,
Bergundasjön N.,56.86511159,14.75835261,70.87371173,hypereutrophic,7,160,6.51,41.5,6.4,2019,single,6,128,218,61,0.31147541,33,1172.583333,,,,,,,,,,0.022248244,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,7.748508813,176,16,,,
Experimental lake 442,49.46,-93.49,39.24780878,oligotrophic,8,378,,,,2002,single,12,134,162,14,0.260714286,4.58,33.65833333,,,10.23958333,8.5,3.5,,,,99.3485538,0.280337942,0.414392231,0.676503855,,,,,8,8,,,ELA,MET,ELA,49.664,-93.7327,28.68931781,418,40,137.827372,104.0180101,112.8619371
Trummen mitt,56.86145,14.82715,60.22837403,eutrophic,7,160,0.77,2.6,3.4,2001,single,6,148,241,50,1.86,120,2420.666667,,,,,,,,,,0.068888889,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,9.83677271,176,16,202.787234,226,226
Trummen mitt,56.86145,14.82715,60.22837403,eutrophic,7,160,0.77,2.6,3.4,2004,single,6,124,183,35,0.557142857,24,450.625,,,,,,,,,,0.123809524,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,9.83677271,176,16,204.0166667,192.5,189
Trummen mitt,56.86145,14.82715,60.22837403,eutrophic,7,160,0.77,2.6,3.4,2008,single,6,126,220,65,0.707692308,63,1782.333333,,,,,,,,,,0.041628959,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,9.83677271,176,16,233.6842105,214.125,191.6666667
Trummen mitt,56.86145,14.82715,60.22837403,eutrophic,7,160,0.77,2.6,3.4,2009,single,6,127,216,69,0.347826087,44,1930.833333,,,,,,,,,,0.017391304,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,9.83677271,176,16,217.8555556,222,215.4666667
Trummen mitt,56.86145,14.82715,60.22837403,eutrophic,7,160,0.77,2.6,3.4,2010,single,6,167,251,49,0.306122449,31,1025.5,,,,,,,,,,0.019132653,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,9.83677271,176,16,190.7411765,241,241
Trummen mitt,56.86145,14.82715,60.22837403,eutrophic,7,160,0.77,2.6,3.4,2015,single,6,132,232,58,0.172413793,25,1075.666667,,,,,,,,,,0.011494253,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,9.83677271,176,16,206.7821782,184,182.8
Trummen mitt,56.86145,14.82715,60.22837403,eutrophic,7,160,0.77,2.6,3.4,2017,single,6,139,191,21,0.3,8.8,113.225,,,,,,,,,,0.12,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,9.83677271,176,16,213.0566038,234,234
Trummen mitt,56.86145,14.82715,60.22837403,eutrophic,7,160,0.77,2.6,3.4,2019,single,6,127,189,41,0.256097561,20,551.7916667,,,,,,,,,,0.026957638,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,9.83677271,176,16,,,
Växjösjön mitt,56.86292,14.8199,60.23527497,eutrophic,7,166,,,,1998,single,6,148,239,60,0.25,26,1283.916667,,,,,,,,,,0.022727273,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,9.450425483,176,10,173.8152174,211,211
Växjösjön mitt,56.86292,14.8199,60.23527497,eutrophic,7,166,,,,1999,single,6,207,266,31,0.419354839,31,733.6666667,,,,,,,,,,0.023297491,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,9.450425483,176,10,160.85,233,233
Växjösjön mitt,56.86292,14.8199,60.23527497,eutrophic,7,166,,,,2001,single,6,148,198,28,5.25,160,1771,,,,,,,,,,0.403846154,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,9.450425483,176,10,217.6666667,226,226
Växjösjön mitt,56.86292,14.8199,60.23527497,eutrophic,7,166,,,,2004,single,6,124,246,91,0.403296703,41,1549.575,,,,,,,,,,0.093789931,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,9.450425483,176,10,188.8373984,192.5,189
Växjösjön mitt,56.86292,14.8199,60.23527497,eutrophic,7,166,,,,2008,single,6,126,220,65,0.092307692,17,779,,,,,,,,,,0.008391608,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,9.450425483,176,10,233.6842105,214.125,191.6666667
Växjösjön mitt,56.86292,14.8199,60.23527497,eutrophic,7,166,,,,2009,single,6,127,216,69,0.231884058,28,1564.966667,,,,,,,,,,0.019323671,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,9.450425483,176,10,217.8555556,222,215.4666667
Törn,56.56380087,15.53881831,49.92021274,mesotrophic,7,115,8.28,43.02,5.2,2001,single,6,107,197,58,0.156896552,12.1,361.7916667,,,,,,,,,,0.052298851,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,64.20101051,176,61,204.1978022,115,115
Getasjön,56.66947,15.56873,52.82712036,eutrophic,7,120,0.32,0.8,2.5,2001,single,7,107,197,58,0.187931034,14.2,435.2583333,,,,,,,,,,0.056948798,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,58.89195954,176,56,204.1978022,115,115
Alderfen broad N.,52.72367117,1.48597392,60.35139228,eutrophic,10,3,,,,2001,single,9,9,107,28,2.535714286,74.6,864.2666667,,,4.85,0.1345,,,,,,0.704365079,0.120593017,5.840844644,,,,,0.15,0.15,,,London Weather C.,1299,GEBA,51.51666667,-0.116666667,173.4469664,31,28,66.85858586,32,32
Alderfen broad N.,52.72367117,1.48597392,60.35139228,eutrophic,10,3,,,,2002,summer,11,134,303,169,0.006508876,49.96,5753.226667,,,16.9375,0.11348,,,,,,0.000133215,0.790725053,0.000168472,14.8,14.8,,,0.088,0.088,,,London Weather C.,1299,GEBA,51.51666667,-0.116666667,173.4469664,31,28,150.3411765,179,178.2
Alderfen broad N.,52.72367117,1.48597392,60.35139228,eutrophic,10,3,,,,2004,single,12,111,216,77,0.128311688,22.66,1182.836667,,,19.3025,0.06725,,,,,,0.018759019,0.890196944,0.021072886,,,,,0.053,0.053,,,London Weather C.,1299,GEBA,51.51666667,-0.116666667,173.4469664,31,28,191.7830189,142,142
Alderfen broad N.,52.72367117,1.48597392,60.35139228,eutrophic,10,3,,,,2005,single,12,60,185,97,0.046391753,7.1,476.295,,,12.9475,0.0475,,,,,,0.017842982,0.576355903,0.03095827,,,,,0.038,0.038,,,London Weather C.,1299,GEBA,51.51666667,-0.116666667,173.4469664,31,28,164.2142857,54.5,52.4
Alderfen broad N.,52.72367117,1.48597392,60.35139228,eutrophic,10,3,,,,2007,single,6,17,66,19,0.268421053,11.2,203.4583333,,,5.585,0.1105,,,,,,0.044003451,0.154499296,0.284813279,,,,,0.118,0.118,,,London Weather C.,1299,GEBA,51.51666667,-0.116666667,173.4469664,31,28,,,
Alderfen broad N.,52.72367117,1.48597392,60.35139228,eutrophic,10,3,,,,2012,spring,12,11,52,41,0.897560976,45.8,912.25,,,5.575,0.06595,,,,,,0.099728997,0.154018968,0.64751114,5.46,5.46,,,0.0425,0.0425,,,London Weather C.,1299,GEBA,51.51666667,-0.116666667,173.4469664,31,28,,,
Alderfen broad N.,52.72367117,1.48597392,60.35139228,eutrophic,10,3,,,,2012,summer,12,130,165,35,0.017142857,10.4,347.6666667,,,14.7,0.0556,,,,,,0.001749271,0.675990974,0.002587714,14.1,14.1,,,0.0544,0.0544,,,London Weather C.,1299,GEBA,51.51666667,-0.116666667,173.4469664,31,28,,,
Alderfen broad N.,52.72367117,1.48597392,60.35139228,eutrophic,10,3,,,,2014,single,12,142,260,90,0.02,7.3,515.5833333,,,20.4,0.040925,,,,,,0.003921569,0.926901818,0.004230835,,,,,0.0601,0.0601,,,London Weather C.,1299,GEBA,51.51666667,-0.116666667,173.4469664,31,28,,,
Alderfen broad N.,52.72367117,1.48597392,60.35139228,eutrophic,10,3,,,,2015,spring,12,23,114,91,0.101098901,41.3,1519.933333,,,7.9,0.102475,,,,,,0.021978022,0.276802902,0.079399536,1.4,1.4,,,0.138,0.138,,,London Weather C.,1299,GEBA,51.51666667,-0.116666667,173.4469664,31,28,,,
Alderfen broad N.,52.72367117,1.48597392,60.35139228,eutrophic,10,3,,,,2015,summer,12,142,233,91,0.067032967,30.5,1925.15,,,18.7,0.069066667,,,,,,0.004892917,0.867353362,0.005641204,18.2,18.2,,,0.108,0.108,,,London Weather C.,1299,GEBA,51.51666667,-0.116666667,173.4469664,31,28,,,
Alderfen broad N.,52.72367117,1.48597392,60.35139228,eutrophic,10,3,,,,2018,single,11,17,141,54,1.183333333,67.9,1015.291667,,,5.6,0.055266667,,,,,,0.295833333,0.155220719,1.905888173,,,,,0.0499,0.0499,,,London Weather C.,1299,GEBA,51.51666667,-0.116666667,173.4469664,31,28,,,
Alderfen inflow,52.72590286,1.48104117,53.49741509,eutrophic,10,3,,,,2004,single,9,20,111,57,0.319824561,19.78,469.1975,,,8.763333333,0.156666667,,,,,,0.206338427,0.326577989,0.631819761,,,,,0.096,0.096,,,London Weather C.,1299,GEBA,51.51666667,-0.116666667,173.4242541,31,28,79.23913043,28,28
Alderfen inflow,52.72590286,1.48104117,53.49741509,eutrophic,10,3,,,,2005,spring,12,32,131,99,0.011616162,260,8883.241667,,,6.683333333,0.094666667,,,,,,0.005162738,0.210030513,0.024580897,6.72,6.72,,,0.136,0.136,,,London Weather C.,1299,GEBA,51.51666667,-0.116666667,173.4242541,31,28,108.15,36,35.06666667
Alderfen inflow,52.72590286,1.48104117,53.49741509,eutrophic,10,3,,,,2006,single,12,10,81,29,0.527586207,21,343.1666667,,,5.375,0.08745,,,,,,0.092558984,0.144518341,0.640465308,,,,,0.0549,0.0549,,,London Weather C.,1299,GEBA,51.51666667,-0.116666667,173.4242541,31,28,60.72222222,31,31
Alderfen inflow,52.72590286,1.48104117,53.49741509,eutrophic,10,3,,,,2007,single,10,17,93,49,0.034693878,3.5,181.3,,,8.33,0.1245,,,,,,0.019274376,0.301395023,0.063950546,,,,,0.145,0.145,,,London Weather C.,1299,GEBA,51.51666667,-0.116666667,173.4242541,31,28,,,
Alderfen inflow,52.72590286,1.48104117,53.49741509,eutrophic,10,3,,,,2008,single,9,28,95,46,0.302173913,18,495.65,,,6.975,0.1165,,,,,,0.073700954,0.225598861,0.326690277,,,,,0.121,0.121,,,London Weather C.,1299,GEBA,51.51666667,-0.116666667,173.4242541,31,28,,,
Alderfen inflow,52.72590286,1.48104117,53.49741509,eutrophic,10,3,,,,2009,spring,11,14,63,49,0.183673469,17.6,530.3666667,,,6.31,0.148333333,,,,,,0.032798834,0.190574237,0.172105288,3.99,3.99,,,0.179,0.179,,,London Weather C.,1299,GEBA,51.51666667,-0.116666667,173.4242541,31,28,,,
Alderfen inflow,52.72590286,1.48104117,53.49741509,eutrophic,10,3,,,,2011,single,12,11,60,38,0.157894737,8.9,223.8833333,,,5.165,0.1164,,,,,,0.054446461,0.134766774,0.404005079,,,,,0.159,0.159,,,London Weather C.,1299,GEBA,51.51666667,-0.116666667,173.4242541,31,28,,,
Alderfen inflow,52.72590286,1.48104117,53.49741509,eutrophic,10,3,,,,2012,spring,12,11,114,103,1.141747573,120,2492.591667,,,8.49,0.139,,,,,,0.475728155,0.310650566,1.531393171,6.73,6.73,,,0.112,0.112,,,London Weather C.,1299,GEBA,51.51666667,-0.116666667,173.4242541,31,28,,,
