lake,year,season,start_day,end_day,gw_length,chla_rate,max_chla,acc_chla,poc_rate,chla_to_poc,gw_temp,gw_tp,gw_secchi,gw_ph,gw_srp,gw_tkn,specific_chla_rate,f_temp,temp_corrected_specific_chla_rate,pre_gw_temp,num_samples,pre_gw_tp,pre_gw_tkn,thresh_val,lat_group,climate_zone,tsi,trophic_status,lake_lat,lake_long,days_sampled,first_day,last_day,sampling_frequency,mean_time_between_samples
Crystal lake,1988,single,62,147,71,0.111971831,8.45,162.275,,,,,,,,,0.223943662,,,,18,,,0.4,40-50,7,37.65703383,oligotrophic,46.003,-89.612,294,19,313,0.06122449,16.33333333
Crystal lake,2011,single,12,145,126,0.003174603,9.4,398.8566667,,,,,,,,,0.001269841,,,,25,,,0.4,40-50,7,37.65703383,oligotrophic,46.003,-89.612,308,12,320,0.081168831,12.32
Crystal lake,2012,single,200,235,29,0.120689655,5.95,134.2183333,,,,,,,,,0.049261084,,,,24,,,0.4,40-50,7,37.65703383,oligotrophic,46.003,-89.612,306,13,319,0.078431373,12.75
Crystal lake,2013,single,16,233,210,0.018333333,5.9,511.2583333,,,,,,,,,0.008943089,,,,20,,,0.4,40-50,7,37.65703383,oligotrophic,46.003,-89.612,301,16,317,0.066445183,15.05
Ennerdale water -bowness knott,2008,spring,74,102,28,0.8,22.9,225.0266667,,,5.85,0.00435,,,,,1.6,0.167405318,9.557641423,5.7,12,0.0046,,0.4,50-60,10,35.41165799,oligotrophic,54.52,-3.373,333,10,343,0.036036036,27.75
Ennerdale water -bowness knott,2008,summer,190,253,63,0.033333333,3.7,163.35,,,14.9,0.003186667,,,,,0.020833333,0.686896888,0.030329637,14.9,12,0.003,,0.4,50-60,10,35.41165799,oligotrophic,54.52,-3.373,333,10,343,0.036036036,27.75
Ennerdale water -bowness knott,2009,single,6,233,203,0.01182266,2.9,260.3558333,,,9.165714286,0.003605714,,,,,0.02364532,0.350256657,0.067508553,4.61,12,0.0032,,0.4,50-60,10,35.41165799,oligotrophic,54.52,-3.373,339,6,345,0.03539823,28.25
Ennerdale water -bowness knott,2010,single,25,224,165,0.024545455,4.6,252.35,,,9.624285714,0.0028,,,,,0.044628099,0.377511609,0.118216495,3.33,12,0.0024,,0.4,50-60,10,35.41165799,oligotrophic,54.52,-3.373,324,25,349,0.037037037,27
Ennerdale water -bowness knott,2011,single,105,237,98,0.021428571,3.1,203.9916667,,,12.6,0.002675,,,,,0.021428571,0.55591361,0.038546585,8.5,12,0.0021,,0.4,50-60,10,35.41165799,oligotrophic,54.52,-3.373,317,31,348,0.03785489,26.41666667
Ennerdale water -bowness knott,2012,single,17,206,161,0.013043478,2.6,144.6383333,,,10.22,0.00278,,,,,0.026086957,0.41321466,0.06313173,5.8,11,0.0016,,0.4,50-60,10,35.41165799,oligotrophic,54.52,-3.373,330,17,347,0.033333333,30
Experimental lake 224,1981,single,215,229,7,1.114285714,8.6,23.33333333,,,,,8.4,,,,1.392857143,,,,14,,,0.4,40-50,8,34.3578906,oligotrophic,49.41,-93.43,168,131,299,0.083333333,12
Experimental lake 442,2002,single,134,162,14,0.260714286,4.58,33.65833333,,,10.23958333,8.5,3.5,,,,0.280337942,0.414392231,0.676503855,6.975,12,8,,0.4,40-50,8,39.24780878,oligotrophic,49.46,-93.49,167,134,301,0.071856287,13.91666667
Giles lake,1990,single,169,246,54,0.021790123,1.82,70.6668889,,,,,14.74,,,,0.033870658,,,,15,,,0.4,40-50,10,33.9405354,oligotrophic,41.376,-75.093,321,26,347,0.046728972,21.4
Källsjön,1997,single,77,198,91,0.034065934,3.5,181.8833333,,,,,,,,,0.085164835,,,,8,,,0.4,60-70,7,38.71517462,oligotrophic,61.634,16.736,202,77,279,0.03960396,25.25
Källsjön,1998,single,74,195,89,0.029213483,2.8,87.9,,,,,,,,,0.146067416,,,,8,,,0.4,60-70,7,38.71517462,oligotrophic,61.634,16.736,218,74,292,0.036697248,27.25
Källsjön,1999,single,78,227,121,0.019834711,3.2,220.1166667,,,,,,,,,0.033057851,,,,8,,,0.4,60-70,7,38.71517462,oligotrophic,61.634,16.736,213,78,291,0.037558685,26.625
Källsjön,2001,single,70,197,98,0.046938776,4.8,142.9333333,,,,,,,,,0.234693878,,,,8,,,0.4,60-70,7,38.71517462,oligotrophic,61.634,16.736,219,70,289,0.03652968,27.375
Källsjön,2007,single,99,196,69,0.028985507,2.7,143.0833333,,,,,,,,,0.041407867,,,,8,,,0.4,60-70,7,38.71517462,oligotrophic,61.634,16.736,240,49,289,0.033333333,30
Källsjön,2009,single,48,196,119,0.012605042,1.9,115.275,,,,,,,,,0.031512605,,,,8,,,0.4,60-70,7,38.71517462,oligotrophic,61.634,16.736,238,48,286,0.033613445,29.75
Källsjön,2010,single,48,222,146,0.031506849,4.8,190.5916667,,,,,,,,,0.157534247,,,,8,,,0.4,60-70,7,38.71517462,oligotrophic,61.634,16.736,235,48,283,0.034042553,29.375
Källsjön,2015,single,138,193,27,0.322222222,9.7,125.1,,,,,,,,,0.322222222,,,,7,,,0.4,60-70,7,38.71517462,oligotrophic,61.634,16.736,175,116,291,0.04,25
Källsjön,2017,single,127,165,14,0.214285714,4.1,32.31666667,,,,,,,,,0.194805195,,,,7,,,0.4,60-70,7,38.71517462,oligotrophic,61.634,16.736,161,127,288,0.043478261,23
Källsjön,2019,single,126,195,34,0.129411765,5.2,84.8,,,,,,,,,0.161764706,,,,7,,,0.4,60-70,7,38.71517462,oligotrophic,61.634,16.736,159,126,285,0.044025157,22.71428571
Kånkåstjärnen,2006,single,101,199,63,0.046031746,3.2,105.7583333,,,,,,,,,0.153439153,,,,7,,,0.4,60-70,7,36.53680018,oligotrophic,62.608,16.896,189,101,290,0.037037037,27
Lake huron,2014,single,130,219,88,0.066601996,6.1,219.0705285,0.001154795,0.003991853,9.423686121,0.00440964,15.44579125,7.759599303,0.000823519,0.189025116,0.278641002,0.365558723,0.762233219,4.856400503,11,0.003500911,0.183863679,0.4,40-50,8,31.04467596,oligotrophic,43.09,-82.392,96,127,223,0.114583333,8.727272727
Lake ontario,2008,single,94,233,138,0.01754587,6.458333333,456.6866166,0.001836578,0.008763461,9.250343732,,6.191764706,10.02479938,0.002928122,0.390043142,0.017347612,0.355267206,0.048829758,2.320500295,18,,0.201143521,0.4,40-50,8,39.2304471,oligotrophic,43.314,-79.751,231,91,322,0.077922078,12.83333333
Lake ontario,2010,single,105,110,4,3.726388889,16.28888889,16.46458333,-0.014680556,0.008556701,5.365277778,,13.42361111,8.398808333,0.001279445,0.229611111,2.693775101,0.144061733,18.6987553,5.782699275,19,,0.233428744,0.4,40-50,8,39.2304471,oligotrophic,43.314,-79.751,143,96,239,0.132867133,7.526315789
Lake ontario,2011,single,96,108,9,1.362982769,12.99411765,30.48743736,0.082761141,0.00908059,3.707754011,,14.16666667,8.270285027,0.001708021,0.485957219,1.874101308,0.074317085,25.21763738,2.798856489,8,,0.20134839,0.4,40-50,8,39.2304471,oligotrophic,43.314,-79.751,16,94,110,0.5,2
Lien,1996,single,107,190,58,0.10862069,9.6,218.1166667,,,,,,,,,0.032915361,,,,7,,,0.4,50-60,7,38.19314742,oligotrophic,59.811,15.521,175,107,282,0.04,25
Lindöviken W.,1974,single,113,197,57,0.042,3.204,87.3495,,,,,,,,,0.051851852,,,,7,,,0.4,60-70,7,34.94049942,oligotrophic,60.022,23.194,177,113,290,0.039548023,25.28571429
Red tarn -stillwater,2009,single,30,259,207,0.000483092,3.6,491.6833333,,,,0.00409875,,,,,0.000301932,,,,12,0.00508,,0.4,50-60,7,38.94860804,oligotrophic,54.53,-3.006,308,30,338,0.038961039,25.66666667
Tryssjön,2009,single,70,235,127,0.01023622,2.6,204.25,,,,,,,,,0.025590551,,,,8,,,0.4,60-70,7,34.88574797,oligotrophic,60.435,15.083,233,70,303,0.034334764,29.125
Tryssjön,2010,single,54,223,134,0.017164179,2.7,194.775,,,,,,,,,0.042910448,,,,8,,,0.4,60-70,7,34.88574797,oligotrophic,60.435,15.083,244,54,298,0.032786885,30.5
Wastwater -stillwater,2006,single,110,165,32,0.236875,9.19,136.16,,,9.05,0.0495,,,,,0.147127329,0.343421829,0.428415776,7.6,12,0.085,,0.4,50-60,10,33.80081571,oligotrophic,54.427,-3.319,319,26,345,0.037617555,26.58333333
Wastwater -stillwater,2012,single,26,171,116,0.008534483,1.5,113.0716667,,,,0.00184,,,,,0.01673428,,,,12,0.0015,,0.4,50-60,10,33.80081571,oligotrophic,54.427,-3.319,315,26,341,0.038095238,26.25
Övre Skärsjön,2003,single,55,224,132,0.014393939,2.9,224.525,,,,,,,,,0.023989899,,,,8,,,0.4,50-60,7,38.90738096,oligotrophic,59.837,15.55,224,55,279,0.035714286,28
Övre Skärsjön,2019,single,51,227,145,0.044137931,7,419.375,,,,,,,,,0.073563218,,,,8,,,0.4,50-60,7,38.90738096,oligotrophic,59.837,15.55,236,51,287,0.033898305,29.5
Allequash lake,1981,single,183,239,41,0.41097561,19.15,423.6166667,,,,,,,,,0.178685048,,,,8,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,112,183,295,0.071428571,14
Allequash lake,1982,spring,26,145,119,0.073109244,22.7,831.315,,,,,,,,,0.018051665,,,,17,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,308,26,334,0.055194805,18.11764706
Allequash lake,1982,summer,217,278,61,0.263114754,20.75,759.3125,,,,,,,,,0.055981863,,,,17,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,308,26,334,0.055194805,18.11764706
Allequash lake,1983,spring,82,145,63,0.046428571,14.6,506.7625,,,,,,,,,0.010612245,,,,15,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,303,17,320,0.04950495,20.2
Allequash lake,1983,summer,252,272,20,0.33,20,267,,,,,,,,,0.024626866,,,,15,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,303,17,320,0.04950495,20.2
Allequash lake,1984,single,6,144,124,0.11875,15.575,404.1277778,,,,,,,,,0.139705882,,,,15,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,307,6,313,0.048859935,20.46666667
Allequash lake,1985,single,7,231,212,0.020754717,13.275,1077.475,,,,,,,,,0.007831969,,,,16,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,308,7,315,0.051948052,19.25
Allequash lake,1987,single,55,264,198,0.071212121,14.45,921.6775,,,,,,,,,0.203463203,,,,19,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,302,20,322,0.062913907,15.89473684
Allequash lake,1988,single,11,257,232,0.054741379,13.9,746.16,,,,,,,,,0.045617816,,,,18,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,296,11,307,0.060810811,16.44444444
Allequash lake,1990,single,24,276,237,0.029535865,8.9,634.8566667,,,,,,,,,0.073839662,,,,17,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,289,24,313,0.058823529,17
Allequash lake,1991,single,17,266,236,0.105437853,26.55,1085.478333,,,,,,,,,0.063262712,,,,16,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,284,17,301,0.056338028,17.75
Allequash lake,1992,spring,64,153,89,0.042696629,20,571.32,,,,,,,,,0.170786517,,,,16,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,247,64,311,0.064777328,15.4375
Allequash lake,1992,summer,171,255,84,0.196428571,21.95,774.9866667,,,,,,,,,0.03604194,,,,16,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,247,64,311,0.064777328,15.4375
Allequash lake,1993,spring,54,155,101,0.03679868,13.3,521.6283333,,,,,,,,,0.038735452,,,,17,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,299,8,307,0.056856187,17.58823529
Allequash lake,1993,summer,223,277,54,0.225925926,24.85,736.09,,,,,,,,,0.075308642,,,,17,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,299,8,307,0.056856187,17.58823529
Allequash lake,1994,single,10,140,113,0.084513274,20.45,831.0483333,,,,,,,,,0.022536873,,,,18,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,311,10,321,0.057877814,17.27777778
Allequash lake,1995,single,191,261,59,0.130508475,11.9,515.5316667,,,,,,,,,0.049248481,,,,16,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,337,11,348,0.047477745,21.0625
Allequash lake,1997,single,57,154,83,0.092168675,10,347.115,,,,,,,,,0.153614458,,,,16,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,291,20,311,0.054982818,18.1875
Allequash lake,2000,single,26,276,237,0.057876231,13.76666667,1102.118333,,,,,,,,,1.157524614,,,,19,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,294,26,320,0.06462585,15.47368421
Allequash lake,2001,single,26,149,108,0.040123457,17.45,409.3383333,,,,,,,,,0.046296296,,,,18,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,292,26,318,0.061643836,16.22222222
Allequash lake,2003,spring,24,149,125,0.017866667,15.9,717.3266667,,,,,,,,,0.018482759,,,,17,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,299,24,323,0.056856187,17.58823529
Allequash lake,2003,summer,174,273,99,0.045622896,12.3,601.6116667,,,,,,,,,0.013686869,,,,17,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,299,24,323,0.056856187,17.58823529
Allequash lake,2005,single,54,136,69,0.095169082,9.7,243.1883333,,,,,,,,,0.105743425,,,,18,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,302,10,312,0.059602649,16.77777778
Allequash lake,2006,single,58,136,63,0.29973545,19.33333333,407.2808333,,,,,,,,,0.666078777,,,,17,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,294,10,304,0.057823129,17.29411765
Allequash lake,2007,spring,24,141,117,0.015384615,15.25,372.775,,,,,,,,,0.019230769,,,,18,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,288,24,312,0.0625,16
Allequash lake,2007,summer,253,270,17,0.544117647,17.65,252.195,,,,,,,,,0.06477591,,,,18,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,288,24,312,0.0625,16
Allequash lake,2008,single,63,266,190,0.054736842,10.5,744.03,,,,,,,,,0.547368421,,,,17,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,296,15,311,0.057432432,17.41176471
Allequash lake,2010,single,19,256,224,0.033928571,10.95,841.0283333,,,,,,,,,0.010127932,,,,19,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,295,19,314,0.06440678,15.52631579
Allequash lake,2011,single,46,151,91,0.040659341,14.1,337.2575,,,,,,,,,0.271062271,,,,18,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,296,19,315,0.060810811,16.44444444
Allequash lake,2012,spring,16,121,105,0.075396825,13.75,507.8516667,,,,,,,,,0.119047619,,,,19,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,298,16,314,0.063758389,15.68421053
Allequash lake,2012,summer,207,248,41,0.269512195,14.1,332.3816667,,,,,,,,,0.088364654,,,,19,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,298,16,314,0.063758389,15.68421053
Allequash lake,2014,single,77,168,76,0.186403509,25.55,634.2441667,,,,,,,,,0.621345029,,,,16,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,290,17,307,0.055172414,18.125
Allequash lake,2016,spring,28,144,116,0.009051724,15,394.175,,,,,,,,,0.010057471,,,,17,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,287,28,315,0.059233449,16.88235294
Allequash lake,2016,summer,172,256,84,0.135714286,15.4,651.105,,,,,,,,,0.033928571,,,,17,,,0.4,40-50,7,49.56095182,mesotrophic,46.038,-89.701,287,28,315,0.059233449,16.88235294
Allgunnen,1995,single,114,206,63,0.057142857,9,407.3,,,,,,,,,0.010582011,,,,7,,,0.4,50-60,7,47.03593176,mesotrophic,57.223,14.615,150,114,264,0.046666667,21.42857143
Allgunnen,2005,single,108,228,57,0.047368421,5.7,222.775,,,,,,,,,0.015789474,,,,6,,,0.4,50-60,7,47.03593176,mesotrophic,57.223,14.615,239,108,347,0.025104603,39.83333333
Allgunnen,2006,single,109,220,61,0.701639344,44,965.8333333,,,,,,,,,0.584699454,,,,6,,,0.4,50-60,7,47.03593176,mesotrophic,57.223,14.615,237,109,346,0.025316456,39.5
Allgunnen,2008,single,112,197,53,0.067924528,6.8,240.2,,,,,,,,,0.021226415,,,,7,,,0.4,50-60,7,47.03593176,mesotrophic,57.223,14.615,158,112,270,0.044303797,22.57142857
Bassenthwaite -england,2006,spring,5,90,85,0.079529412,13.1,758.8116667,,,,0.0156,0.0238,,,,0.012544071,,,,15,0.013,,0.4,50-60,10,49.63385666,mesotrophic,54.655,-3.221,349,5,354,0.042979943,23.26666667
Bassenthwaite -england,2006,summer,165,216,51,0.698627451,45,1186.645,,,,0.019333333,0.024666667,,,,0.074560027,,,,15,0.003,,0.4,50-60,10,49.63385666,mesotrophic,54.655,-3.221,349,5,354,0.042979943,23.26666667
Bassenthwaite -england,2007,spring,16,124,108,0.040833333,29.3,1049.8475,,,8.575,0.003532,0.0207,,,,0.022811918,0.315588547,0.072283732,,13,0.003,,0.4,50-60,10,49.63385666,mesotrophic,54.655,-3.221,332,16,348,0.039156627,25.53846154
Bassenthwaite -england,2007,summer,151,211,60,0.073333333,12.4,620.1,,,15,0.005733333,,,,,0.009166667,0.692307692,0.013240741,14.3,13,0.003,,0.4,50-60,10,49.63385666,mesotrophic,54.655,-3.221,332,16,348,0.039156627,25.53846154
Bassenthwaite -england,2010,spring,21,69,48,0.229166667,14,320.5,,,2.696666667,0.014186667,,,,,0.076388889,0.04118215,1.854902882,2.5,12,0.00806,,0.4,50-60,10,49.63385666,mesotrophic,54.655,-3.221,328,21,349,0.036585366,27.33333333
Bassenthwaite -england,2010,summer,176,228,52,0.317307692,20.4,650.5333333,,,18.44,0.014266667,,,,,0.081360947,0.856940317,0.094943539,18.96,12,0.0094,,0.4,50-60,10,49.63385666,mesotrophic,54.655,-3.221,328,21,349,0.036585366,27.33333333
Bassenthwaite -england,2011,single,25,255,199,0.060301508,13.5,1123.3,,,11.2,0.015025,,,,,0.040201005,0.472244706,0.085127487,4.5,12,0.0129,,0.4,50-60,10,49.63385666,mesotrophic,54.655,-3.221,321,25,346,0.037383178,26.75
Bassenthwaite -england,2012,single,41,108,34,0.235294118,10.6,200.4866667,,,5,0.02045,,,,,0.090497738,0.127272727,0.711053652,2.2,12,0.0128,,0.4,50-60,10,49.63385666,mesotrophic,54.655,-3.221,328,12,340,0.036585366,27.33333333
Bassenthwaite -england,2013,spring,10,99,89,0.123595506,11.6,444.2666667,,,4.325,0.01345,,,,,0.205992509,0.098271245,2.096162613,6.7,12,0.0137,,0.4,50-60,10,49.63385666,mesotrophic,54.655,-3.221,327,10,337,0.036697248,27.25
Bassenthwaite -england,2013,summer,184,266,82,0.120731707,15.6,884.9666667,,,15.5,0.014466667,,,,,0.028077141,0.718916031,0.039054827,16.1,12,0.0108,,0.4,50-60,10,49.63385666,mesotrophic,54.655,-3.221,327,10,337,0.036697248,27.25
Bassenthwaite -england,2014,single,9,217,179,0.081005587,15.2,1128.808333,,,10.28571429,0.013542857,,,,,0.115722267,0.417166844,0.277400441,5.9,12,0.0157,,0.4,50-60,10,49.63385666,mesotrophic,54.655,-3.221,329,9,338,0.036474164,27.41666667
Bassenthwaite -england,2015,single,8,230,187,0.021390374,10.9,1000.083333,,,9.914285714,0.012742857,,,,,0.017825312,0.394859679,0.045143409,6.4,11,0.0196,,0.4,50-60,10,49.63385666,mesotrophic,54.655,-3.221,312,8,320,0.03525641,28.36363636
Bassenthwaite -england,2016,single,21,203,151,0.029139073,8.1,625.3,,,9.883333333,0.016283333,,,,,0.058278146,0.393004758,0.148288652,3.7,12,0.0197,,0.4,50-60,10,49.63385666,mesotrophic,54.655,-3.221,327,21,348,0.036697248,27.25
Bassenthwaite -england,2017,single,54,202,123,0.017886179,7.8,730.5,,,12.26,0.015054,,,,,0.003193961,0.53575751,0.005961579,6,11,0.0102,,0.4,50-60,10,49.63385666,mesotrophic,54.655,-3.221,292,54,346,0.037671233,26.54545455
Bassenthwaite -england,2018,single,19,199,158,0.030379747,9.1,853.475,,,9.633333333,0.010716667,,,,,0.018987342,0.378051704,0.050224193,3.3,12,0.0109,,0.4,50-60,10,49.63385666,mesotrophic,54.655,-3.221,319,19,338,0.037617555,26.58333333
Bassenthwaite -england,2019,single,80,228,118,0.142372881,18,744.5,,,13.02,0.01348,,,,,0.118644068,0.580597955,0.204348063,7.5,10,0.0149,,0.4,50-60,10,49.63385666,mesotrophic,54.655,-3.221,294,8,302,0.034013605,29.4
Big Muskellunge lake,1981,single,209,238,14,1.114285714,18.2,116.9,,,,,,,,,0.428571429,,,,9,,,0.4,40-50,7,40.24658203,mesotrophic,46.021,-89.612,153,181,334,0.058823529,17
Big Muskellunge lake,1996,single,100,149,36,0.131944444,4.95,105.9,,,,,,,,,0.659722222,,,,15,,,0.4,40-50,7,40.24658203,mesotrophic,46.021,-89.612,273,38,311,0.054945055,18.2
Big Muskellunge lake,2005,single,11,136,114,0.026315789,7.65,304.7983333,,,,,,,,,0.009398496,,,,18,,,0.4,40-50,7,40.24658203,mesotrophic,46.021,-89.612,304,11,315,0.059210526,16.88888889
Big Muskellunge lake,2013,single,88,161,47,0.077659574,4.05,118.8055556,,,,,,,,,0.194148936,,,,13,,,0.4,40-50,7,40.24658203,mesotrophic,46.021,-89.612,300,18,318,0.043333333,23.07692308
Big Muskellunge lake,2015,single,21,126,92,0.107608696,10.3,199.58,,,,,,,,,0.269021739,,,,18,,,0.4,40-50,7,40.24658203,mesotrophic,46.021,-89.612,293,21,314,0.061433447,16.27777778
Björkfjärden SE.,1966,single,75,173,72,0.180291667,13.6,373.398,,,,,,,,,0.291262789,,,,6,,,0.4,50-60,7,46.25162536,mesotrophic,59.29,17.52,226,75,301,0.026548673,37.66666667
Björkfjärden SE.,1967,single,109,172,37,0.249594595,11.6,260.7698333,,,,,,,,,0.105536826,,,,7,,,0.4,50-60,7,46.25162536,mesotrophic,59.29,17.52,229,68,297,0.030567686,32.71428571
Björkfjärden SE.,1968,single,117,177,31,0.148387097,6.5,113.4083333,,,,,,,,,0.078098472,,,,6,,,0.4,50-60,7,46.25162536,mesotrophic,59.29,17.52,181,117,298,0.033149171,30.16666667
Björkfjärden SE.,1971,single,71,175,76,0.083802632,7.1,264.841,,,,,,,,,0.114641083,,,,6,,,0.4,50-60,7,46.25162536,mesotrophic,59.29,17.52,223,71,294,0.02690583,37.16666667
Björkfjärden SE.,1975,single,64,155,71,0.094014085,7,228.2354167,,,,,,,,,0.289274106,,,,9,,,0.4,50-60,7,46.25162536,mesotrophic,59.29,17.52,225,64,289,0.04,25
Björkfjärden SE.,1979,single,65,169,71,0.123661972,9,251.695,,,,,,,,,0.562099872,,,,7,,,0.4,50-60,7,46.25162536,mesotrophic,59.29,17.52,225,65,290,0.031111111,32.14285714
Björkfjärden SE.,1981,single,61,167,72,0.112944444,8.8,306.456,,,,,,,,,0.16907851,,,,7,,,0.4,50-60,7,46.25162536,mesotrophic,59.29,17.52,227,61,288,0.030837004,32.42857143
Björkfjärden SE.,1983,single,66,165,71,0.070422535,5.8,236.6666667,,,,,,,,,0.088028169,,,,7,,,0.4,50-60,7,46.25162536,mesotrophic,59.29,17.52,224,66,290,0.03125,32
Björkfjärden SE.,1984,single,72,165,57,0.103508772,6.7,191.425,,,,,,,,,0.129385965,,,,7,,,0.4,50-60,7,46.25162536,mesotrophic,59.29,17.52,218,72,290,0.032110092,31.14285714
Björkfjärden SE.,1985,single,133,196,28,0.553571429,16.8,190.4,,,,,,,,,0.425824176,,,,7,,,0.4,50-60,7,46.25162536,mesotrophic,59.29,17.52,210,72,282,0.033333333,30
Björkfjärden SE.,1986,single,69,167,64,0.1234375,8.9,263.4666667,,,,,,,,,0.1234375,,,,7,,,0.4,50-60,7,46.25162536,mesotrophic,59.29,17.52,218,69,287,0.032110092,31.14285714
